RANGO;NUMEROS PRIMOS;DURACION
198000000-199000000;52296;1.60431
199000000-200000000;52363;1.59734
200000000-201000000;52326;1.60715
201000000-202000000;52386;1.67192
202000000-203000000;52139;1.79469
203000000-204000000;52385;1.88282
204000000-205000000;52300;1.63901
205000000-206000000;52177;1.5609
206000000-207000000;52281;1.54503
207000000-208000000;52284;1.92443
208000000-209000000;52084;1.76663
209000000-210000000;52327;1.71062
210000000-211000000;52037;1.6338
211000000-212000000;52201;1.78924
212000000-213000000;52149;1.8891
213000000-214000000;52011;1.73876
214000000-215000000;52244;1.80638
215000000-216000000;52125;1.76411
216000000-217000000;52014;1.64705
217000000-218000000;52029;1.6275
218000000-219000000;52096;1.97455
219000000-220000000;52008;1.90419
220000000-221000000;51937;1.64203
221000000-222000000;52086;1.71383
222000000-223000000;52149;1.83257
223000000-224000000;52053;1.69877
224000000-225000000;52110;1.63657
225000000-226000000;51854;1.97272
226000000-227000000;52026;1.98288
227000000-228000000;51782;1.67957
228000000-229000000;52117;1.74175
229000000-230000000;51919;1.93572
230000000-231000000;52026;1.7864
231000000-232000000;51946;1.75744
232000000-233000000;51886;2.02942
233000000-234000000;51595;1.87093
234000000-235000000;51991;1.62397
235000000-236000000;51891;1.77366
236000000-237000000;51987;1.70495
237000000-238000000;52003;1.68247
238000000-239000000;51924;1.67731
239000000-240000000;51722;1.75487
240000000-241000000;52073;1.61762
241000000-242000000;51674;1.6419
242000000-243000000;51625;1.71741
243000000-244000000;51704;1.69905
244000000-245000000;52040;1.68463
245000000-246000000;51723;1.75824
246000000-247000000;51693;1.63401
247000000-248000000;51695;1.73819
248000000-249000000;51780;1.61948
249000000-250000000;51767;1.68886
250000000-251000000;51732;2.10476
251000000-252000000;51632;1.94886
252000000-253000000;51679;1.62039
253000000-254000000;51722;1.56782
254000000-255000000;51734;2.00722
255000000-256000000;51720;1.89001
256000000-257000000;51447;1.57954
257000000-258000000;51731;1.58019
258000000-259000000;51595;1.58371
259000000-260000000;51550;1.5896
260000000-261000000;51711;1.57922
261000000-262000000;51581;1.58878
262000000-263000000;51799;1.59002
263000000-264000000;51268;1.60024
264000000-265000000;51566;1.58102
265000000-266000000;51807;1.58323
266000000-267000000;51294;1.59002
267000000-268000000;51562;1.5913
268000000-269000000;51595;1.55782
269000000-270000000;51341;1.52259
270000000-271000000;51478;1.56074
271000000-272000000;51352;1.53779
272000000-273000000;51483;1.54377
273000000-274000000;51598;1.53933
274000000-275000000;51551;1.54845
275000000-276000000;51521;1.54939
276000000-277000000;51450;1.55717
277000000-278000000;51450;1.53869
278000000-279000000;51311;1.54799
279000000-280000000;51491;1.54791
280000000-281000000;51407;1.56087
281000000-282000000;51538;1.55251
282000000-283000000;51262;1.5619
283000000-284000000;51398;1.55685
284000000-285000000;51207;1.56379
285000000-286000000;51331;1.52724
286000000-287000000;51190;1.53816
287000000-288000000;51441;1.53531
288000000-289000000;51386;1.5472
289000000-290000000;51434;1.54114
290000000-291000000;51175;1.54059
291000000-292000000;51343;1.53574
292000000-293000000;51289;1.52857
293000000-294000000;51410;1.52591
294000000-295000000;51322;1.68667
295000000-296000000;51096;1.85311
296000000-297000000;51299;1.63375
297000000-298000000;51346;1.52588
298000000-299000000;51024;1.67596
299000000-300000000;51358;1.54225
300000000-301000000;51300;1.52512
301000000-302000000;51257;1.53023
302000000-303000000;51111;1.49269
303000000-304000000;51071;1.49868
304000000-305000000;51360;1.50341
305000000-306000000;51183;1.51253
306000000-307000000;51182;1.50038
307000000-308000000;51180;1.51213
308000000-309000000;51355;1.51432
309000000-310000000;51197;1.51702
310000000-311000000;51117;1.50675
311000000-312000000;50992;1.51076
312000000-313000000;51252;1.51593
313000000-314000000;51079;1.51531
314000000-315000000;51082;1.51728
315000000-316000000;51090;1.51806
316000000-317000000;51083;1.52713
317000000-318000000;51096;1.52935
318000000-319000000;50876;1.52746
319000000-320000000;51018;1.50312
320000000-321000000;51106;1.51584
321000000-322000000;50896;1.51279
322000000-323000000;51084;1.52296
323000000-324000000;51141;1.51866
324000000-325000000;50905;1.52288
325000000-326000000;51046;1.52631
326000000-327000000;51069;1.52941
327000000-328000000;51094;1.52126
328000000-329000000;50818;1.52024
329000000-330000000;51110;1.52944
330000000-331000000;50717;1.53196
331000000-332000000;50996;1.52964
332000000-333000000;51080;1.52956
333000000-334000000;50908;1.53407
334000000-335000000;50971;1.53875
335000000-336000000;50854;1.59602
336000000-337000000;50871;1.82905
337000000-338000000;50904;1.72177
338000000-339000000;50998;1.50783
339000000-340000000;50831;1.51735
340000000-341000000;51115;1.50047
341000000-342000000;50907;1.51896
342000000-343000000;50785;1.51484
343000000-344000000;50958;1.52934
344000000-345000000;50971;1.49893
345000000-346000000;50860;1.51098
346000000-347000000;50855;1.51255
347000000-348000000;50660;1.5217
348000000-349000000;50699;1.51351
349000000-350000000;51111;1.52763
350000000-351000000;50743;1.52832
351000000-352000000;50722;1.53127
352000000-353000000;50906;1.51324
353000000-354000000;50780;1.51708
354000000-355000000;50860;1.51632
355000000-356000000;50766;1.52146
356000000-357000000;50763;1.5192
357000000-358000000;50761;1.52066
358000000-359000000;50806;1.5236
359000000-360000000;50655;1.52565
360000000-361000000;50552;1.53477
361000000-362000000;50727;1.51451
362000000-363000000;50787;1.52404
363000000-364000000;50795;1.52743
364000000-365000000;50661;1.53716
365000000-366000000;50812;1.52552
366000000-367000000;50816;1.53786
367000000-368000000;50720;1.53705
368000000-369000000;50627;1.53875
369000000-370000000;50620;1.50683
370000000-371000000;50471;1.5127
371000000-372000000;50761;1.51476
372000000-373000000;50571;1.52138
373000000-374000000;50598;1.51795
374000000-375000000;50948;1.52052
375000000-376000000;50737;1.52938
376000000-377000000;50748;1.53219
377000000-378000000;50778;1.96821
378000000-379000000;50710;1.78268
379000000-380000000;50646;1.52546
380000000-381000000;50762;1.52674
381000000-382000000;50606;1.53298
382000000-383000000;50621;1.53445
383000000-384000000;50444;1.53727
384000000-385000000;50654;1.5382
385000000-386000000;50422;1.54023
386000000-387000000;50575;1.51521
387000000-388000000;50707;1.52449
388000000-389000000;50478;1.5231
389000000-390000000;50568;1.53606
390000000-391000000;50401;1.52252
391000000-392000000;50533;1.53544
392000000-393000000;50697;1.53527
393000000-394000000;50340;1.54222
394000000-395000000;50604;1.52719
395000000-396000000;50502;1.53809
396000000-397000000;50395;1.53402
397000000-398000000;50580;1.54115
398000000-399000000;50355;1.5354
399000000-400000000;50709;1.5419
400000000-401000000;50426;1.5416
401000000-402000000;50407;1.55516
402000000-403000000;50482;1.52678
403000000-404000000;50479;1.49323
404000000-405000000;50470;1.4999
