RANGO;NUMEROS PRIMOS;DURACION
1502000000-1503000000;47202;2.12407
1503000000-1504000000;47224;2.12477
1504000000-1505000000;47517;2.46795
1505000000-1506000000;47548;2.55505
1506000000-1507000000;47247;2.18215
1507000000-1508000000;47316;2.39809
1508000000-1509000000;47479;2.3145
1509000000-1510000000;47079;2.16047
1510000000-1511000000;47045;2.08478
1511000000-1512000000;47320;2.1137
1512000000-1513000000;47322;2.10627
1513000000-1514000000;47213;2.35671
1514000000-1515000000;47421;2.42483
1515000000-1516000000;47266;2.23624
1516000000-1517000000;47371;2.15228
1517000000-1518000000;47191;2.16634
1518000000-1519000000;47529;2.12799
1519000000-1520000000;47341;2.14691
1520000000-1521000000;47178;2.28938
1521000000-1522000000;47219;2.38323
1522000000-1523000000;47423;2.14266
1523000000-1524000000;47303;2.13436
1524000000-1525000000;47257;2.32621
1525000000-1526000000;47233;2.28753
1526000000-1527000000;47347;2.27658
1527000000-1528000000;47421;2.16289
1528000000-1529000000;47250;2.15317
1529000000-1530000000;47682;2.14061
1530000000-1531000000;47154;2.17063
1531000000-1532000000;47092;2.3527
1532000000-1533000000;47285;2.50375
1533000000-1534000000;47342;2.86296
1534000000-1535000000;47200;2.2072
1535000000-1536000000;47249;2.18789
1536000000-1537000000;47218;2.19054
1537000000-1538000000;47277;2.17521
1538000000-1539000000;47150;2.19411
1539000000-1540000000;47424;2.2006
1540000000-1541000000;47174;2.24885
1541000000-1542000000;47264;2.19926
1542000000-1543000000;47245;2.23475
1543000000-1544000000;47153;2.17899
1544000000-1545000000;47331;2.12106
1545000000-1546000000;47313;2.27008
1546000000-1547000000;47394;2.42668
1547000000-1548000000;47234;2.21783
1548000000-1549000000;47212;2.13455
1549000000-1550000000;47324;2.15933
1550000000-1551000000;47434;2.23105
1551000000-1552000000;47258;2.17979
1552000000-1553000000;47208;2.12833
1553000000-1554000000;47283;2.21781
1554000000-1555000000;47204;2.2634
1555000000-1556000000;47147;2.20954
1556000000-1557000000;47368;2.14268
1557000000-1558000000;47199;2.16614
1558000000-1559000000;47215;2.1805
1559000000-1560000000;47295;2.24056
1560000000-1561000000;47084;2.25875
1561000000-1562000000;47021;2.79184
1562000000-1563000000;47152;2.4968
1563000000-1564000000;47306;2.15432
1564000000-1565000000;46984;2.1467
1565000000-1566000000;47290;2.1484
1566000000-1567000000;47186;2.15687
1567000000-1568000000;47301;2.22501
1568000000-1569000000;47143;2.38238
1569000000-1570000000;47339;2.19827
1570000000-1571000000;47160;2.1589
1571000000-1572000000;47137;2.25486
1572000000-1573000000;47147;2.18564
1573000000-1574000000;47113;2.19977
1574000000-1575000000;47408;2.2833
1575000000-1576000000;47214;2.27388
1576000000-1577000000;47383;2.21842
1577000000-1578000000;47334;2.15247
1578000000-1579000000;47288;2.16573
1579000000-1580000000;47232;2.14384
1580000000-1581000000;47170;2.17033
1581000000-1582000000;47253;2.1827
1582000000-1583000000;47149;2.23158
1583000000-1584000000;47416;2.3083
1584000000-1585000000;47095;2.2144
1585000000-1586000000;47149;2.29622
1586000000-1587000000;47254;2.19239
1587000000-1588000000;47145;2.20476
1588000000-1589000000;47241;2.22668
1589000000-1590000000;47180;2.43547
1590000000-1591000000;47199;2.91482
1591000000-1592000000;47325;2.25997
1592000000-1593000000;47155;2.22654
1593000000-1594000000;47080;2.22226
1594000000-1595000000;47053;2.29094
1595000000-1596000000;47443;2.23109
1596000000-1597000000;47053;2.28606
1597000000-1598000000;47236;2.32451
1598000000-1599000000;46983;2.17394
1599000000-1600000000;47339;2.20337
1600000000-1601000000;47211;2.20721
1601000000-1602000000;47114;2.2663
1602000000-1603000000;47154;2.21532
1603000000-1604000000;47314;2.30668
1604000000-1605000000;47219;2.24408
1605000000-1606000000;47158;2.30258
1606000000-1607000000;47218;2.23699
1607000000-1608000000;47110;2.21859
1608000000-1609000000;47093;2.23946
1609000000-1610000000;47193;2.33892
1610000000-1611000000;47000;2.22826
1611000000-1612000000;47097;2.09877
1612000000-1613000000;47347;2.13751
1613000000-1614000000;47157;2.1278
1614000000-1615000000;47052;2.1729
1615000000-1616000000;47247;2.11626
1616000000-1617000000;47094;2.12856
1617000000-1618000000;47069;2.11343
1618000000-1619000000;47148;2.58538
1619000000-1620000000;46967;2.31521
1620000000-1621000000;47336;2.19645
1621000000-1622000000;47356;2.40683
1622000000-1623000000;47112;2.32343
1623000000-1624000000;47041;2.12742
1624000000-1625000000;47136;2.12717
1625000000-1626000000;47082;2.14367
1626000000-1627000000;47171;2.15611
1627000000-1628000000;47185;2.11767
1628000000-1629000000;47213;2.09887
1629000000-1630000000;47126;2.11716
1630000000-1631000000;47211;2.11447
1631000000-1632000000;47098;2.1393
1632000000-1633000000;47374;2.3932
1633000000-1634000000;47242;2.20594
1634000000-1635000000;47102;2.19332
1635000000-1636000000;47182;2.22673
1636000000-1637000000;47159;2.16041
1637000000-1638000000;47285;2.29348
1638000000-1639000000;46972;2.36484
1639000000-1640000000;47149;2.34732
1640000000-1641000000;47239;2.65622
1641000000-1642000000;47155;2.40317
1642000000-1643000000;47078;2.55381
1643000000-1644000000;47070;3.08344
1644000000-1645000000;46770;3.03744
1645000000-1646000000;47243;2.8307
1646000000-1647000000;47048;2.46107
1647000000-1648000000;47175;2.33674
1648000000-1649000000;47079;2.30999
1649000000-1650000000;47085;2.36323
1650000000-1651000000;47156;2.20119
1651000000-1652000000;46988;2.16027
1652000000-1653000000;47079;2.20048
1653000000-1654000000;46914;2.19652
1654000000-1655000000;47056;2.23442
1655000000-1656000000;46991;2.56668
1656000000-1657000000;47286;2.48504
1657000000-1658000000;47116;2.54687
1658000000-1659000000;47221;2.59204
1659000000-1660000000;46774;2.41022
1660000000-1661000000;47196;2.43748
1661000000-1662000000;46967;2.49552
1662000000-1663000000;47300;2.39718
1663000000-1664000000;47075;2.2646
1664000000-1665000000;46976;2.54379
1665000000-1666000000;47302;2.24929
1666000000-1667000000;47028;2.17389
1667000000-1668000000;47091;2.21783
1668000000-1669000000;46982;2.21556
1669000000-1670000000;47096;2.77593
1670000000-1671000000;47104;2.48682
1671000000-1672000000;47185;2.40209
1672000000-1673000000;47159;2.88873
1673000000-1674000000;46837;2.7007
1674000000-1675000000;47091;2.27693
1675000000-1676000000;47058;2.26563
1676000000-1677000000;47091;2.26289
1677000000-1678000000;47123;2.25232
1678000000-1679000000;47311;2.35676
1679000000-1680000000;46983;2.34848
1680000000-1681000000;46969;2.13149
1681000000-1682000000;47222;2.25298
1682000000-1683000000;46946;2.14959
1683000000-1684000000;47192;2.25713
1684000000-1685000000;47108;2.25181
1685000000-1686000000;46935;2.25269
1686000000-1687000000;47134;2.20829
1687000000-1688000000;47204;2.22701
1688000000-1689000000;47155;2.36776
1689000000-1690000000;47190;2.20913
1690000000-1691000000;47107;2.21068
1691000000-1692000000;46973;2.24368
1692000000-1693000000;47077;2.26425
1693000000-1694000000;47017;2.24083
1694000000-1695000000;46878;2.19189
1695000000-1696000000;47051;2.20898
1696000000-1697000000;47170;2.20844
1697000000-1698000000;46921;2.16363
1698000000-1699000000;47056;2.18306
1699000000-1700000000;46909;2.25968
1700000000-1701000000;47195;2.71405
1701000000-1702000000;46943;2.42011
1702000000-1703000000;46979;2.26735
1703000000-1704000000;47037;2.23155
1704000000-1705000000;47170;2.25232
1705000000-1706000000;47162;2.25244
1706000000-1707000000;47139;2.2387
1707000000-1708000000;47055;2.25112
1708000000-1709000000;46888;2.32917
1709000000-1710000000;47365;2.33429
1710000000-1711000000;46936;2.33208
1711000000-1712000000;47144;2.25896
1712000000-1713000000;46933;2.17886
1713000000-1714000000;46856;2.17331
1714000000-1715000000;47054;2.29842
1715000000-1716000000;47040;2.26056
1716000000-1717000000;47268;2.27382
1717000000-1718000000;46982;2.26042
1718000000-1719000000;47069;2.25055
1719000000-1720000000;47089;2.44122
1720000000-1721000000;47074;2.26173
1721000000-1722000000;47103;2.2091
1722000000-1723000000;46936;2.21411
1723000000-1724000000;47057;2.31324
1724000000-1725000000;46951;2.42065
1725000000-1726000000;46867;2.45363
1726000000-1727000000;47253;2.44943
1727000000-1728000000;46765;2.71131
1728000000-1729000000;47066;2.5865
1729000000-1730000000;47043;2.30003
1730000000-1731000000;46936;2.30204
1731000000-1732000000;46867;2.41435
1732000000-1733000000;46905;2.34043
1733000000-1734000000;47004;2.33989
1734000000-1735000000;46956;2.35997
1735000000-1736000000;46838;2.36876
1736000000-1737000000;47068;2.33051
1737000000-1738000000;47084;2.33674
1738000000-1739000000;46959;2.37407
1739000000-1740000000;47046;2.37381
1740000000-1741000000;47057;2.39662
1741000000-1742000000;46910;2.35599
1742000000-1743000000;46984;2.36157
1743000000-1744000000;47104;2.35956
1744000000-1745000000;46905;2.33762
1745000000-1746000000;47090;2.27247
1746000000-1747000000;47052;2.26554
1747000000-1748000000;46814;2.27926
1748000000-1749000000;46850;2.21014
1749000000-1750000000;47153;2.18369
1750000000-1751000000;46956;2.19274
1751000000-1752000000;47015;2.1741
1752000000-1753000000;46984;2.17541
1753000000-1754000000;46938;2.1664
1754000000-1755000000;47131;2.21062
1755000000-1756000000;47072;2.66931
1756000000-1757000000;46821;2.32735
1757000000-1758000000;46937;2.15101
1758000000-1759000000;47084;2.16269
1759000000-1760000000;47048;2.17031
1760000000-1761000000;46942;2.23616
1761000000-1762000000;46859;2.22074
1762000000-1763000000;46915;2.14361
1763000000-1764000000;47027;2.17976
1764000000-1765000000;47017;2.15606
1765000000-1766000000;47043;2.19212
1766000000-1767000000;46920;2.18893
1767000000-1768000000;46934;2.25365
1768000000-1769000000;46947;2.28697
1769000000-1770000000;46965;2.40128
1770000000-1771000000;46893;2.2313
1771000000-1772000000;46986;2.23581
1772000000-1773000000;46952;2.2618
1773000000-1774000000;46821;2.32228
1774000000-1775000000;46925;2.29184
1775000000-1776000000;46900;2.30131
1776000000-1777000000;47076;2.30283
1777000000-1778000000;46865;2.21702
1778000000-1779000000;47052;2.25009
1779000000-1780000000;47047;2.42747
1780000000-1781000000;47101;2.3069
1781000000-1782000000;46795;2.71566
1782000000-1783000000;46999;3.1131
1783000000-1784000000;46888;2.69273
1784000000-1785000000;47010;2.26229
1785000000-1786000000;46946;2.27309
1786000000-1787000000;46870;2.27436
1787000000-1788000000;47009;2.23252
1788000000-1789000000;46725;2.62026
1789000000-1790000000;47073;2.46459
1790000000-1791000000;47007;2.33895
1791000000-1792000000;46893;2.37007
1792000000-1793000000;47080;2.37433
1793000000-1794000000;46919;2.5223
1794000000-1795000000;47061;2.3319
1795000000-1796000000;46956;2.56932
1796000000-1797000000;47039;2.53444
1797000000-1798000000;46981;2.27246
1798000000-1799000000;47082;2.27633
1799000000-1800000000;46896;2.28166
1800000000-1801000000;46985;2.34178
1801000000-1802000000;46820;2.33055
1802000000-1803000000;46905;2.29918
1803000000-1804000000;46882;2.54149
1804000000-1805000000;46891;2.54237
1805000000-1806000000;46884;2.36606
1806000000-1807000000;46861;2.29715
1807000000-1808000000;46928;2.52482
1808000000-1809000000;46991;2.31476
1809000000-1810000000;46933;2.36933
1810000000-1811000000;46843;2.52521
1811000000-1812000000;46832;2.36851
1812000000-1813000000;47094;2.31517
1813000000-1814000000;46711;2.5703
1814000000-1815000000;46870;2.51066
1815000000-1816000000;46928;2.4882
1816000000-1817000000;46897;2.54026
1817000000-1818000000;46920;2.47151
1818000000-1819000000;46725;2.66578
1819000000-1820000000;46951;2.44714
1820000000-1821000000;46762;2.34574
1821000000-1822000000;46903;2.93856
1822000000-1823000000;46743;2.83829
1823000000-1824000000;47034;2.29395
1824000000-1825000000;46961;2.35334
1825000000-1826000000;46836;2.30183
1826000000-1827000000;46865;2.34893
1827000000-1828000000;46931;2.31405
1828000000-1829000000;46899;2.35598
1829000000-1830000000;46834;2.26792
1830000000-1831000000;46851;2.3224
1831000000-1832000000;46938;2.31766
1832000000-1833000000;46623;2.55857
1833000000-1834000000;47326;2.48485
1834000000-1835000000;46810;2.38591
1835000000-1836000000;46852;2.61356
1836000000-1837000000;46854;2.49022
1837000000-1838000000;46923;2.69049
1838000000-1839000000;46811;2.56698
1839000000-1840000000;46914;2.35882
1840000000-1841000000;46811;2.50797
1841000000-1842000000;46873;2.72362
1842000000-1843000000;46861;2.32588
1843000000-1844000000;46996;2.33992
1844000000-1845000000;46826;2.32087
1845000000-1846000000;46924;2.50923
1846000000-1847000000;46842;2.62703
1847000000-1848000000;46706;3.02139
1848000000-1849000000;46705;2.63914
1849000000-1850000000;46863;2.28282
1850000000-1851000000;46802;2.28226
1851000000-1852000000;46938;2.29159
1852000000-1853000000;46863;2.29154
1853000000-1854000000;46685;2.31872
1854000000-1855000000;46907;2.26795
1855000000-1856000000;47049;2.49941
1856000000-1857000000;46935;2.4511
1857000000-1858000000;46911;2.52904
1858000000-1859000000;46770;2.59634
1859000000-1860000000;46694;2.75354
1860000000-1861000000;46852;2.66803
1861000000-1862000000;46816;2.35644
1862000000-1863000000;46844;2.34837
1863000000-1864000000;46986;2.59634
1864000000-1865000000;46693;2.54726
1865000000-1866000000;46689;2.46197
1866000000-1867000000;47008;2.33492
1867000000-1868000000;46642;2.48434
1868000000-1869000000;46911;2.57313
1869000000-1870000000;46850;2.66205
1870000000-1871000000;46809;2.83294
1871000000-1872000000;46720;2.56837
1872000000-1873000000;46849;2.71185
1873000000-1874000000;46927;3.14026
1874000000-1875000000;46901;2.55126
1875000000-1876000000;46603;2.32496
1876000000-1877000000;46942;2.55541
1877000000-1878000000;46882;2.64505
1878000000-1879000000;46907;2.70314
1879000000-1880000000;46782;2.2997
1880000000-1881000000;46653;2.45429
1881000000-1882000000;46845;2.39696
1882000000-1883000000;46684;2.43078
1883000000-1884000000;46906;2.47783
1884000000-1885000000;46663;2.58381
1885000000-1886000000;46735;2.35258
1886000000-1887000000;46798;2.55765
1887000000-1888000000;46777;2.44144
1888000000-1889000000;47134;2.25398
1889000000-1890000000;46891;2.32275
1890000000-1891000000;46716;2.27288
1891000000-1892000000;46829;2.28961
1892000000-1893000000;46923;2.36197
1893000000-1894000000;46763;2.38215
1894000000-1895000000;46802;2.37307
1895000000-1896000000;46742;2.52425
1896000000-1897000000;46733;2.51769
1897000000-1898000000;47028;2.53636
1898000000-1899000000;46819;2.7124
1899000000-1900000000;46970;2.93535
1900000000-1901000000;46914;2.26211
1901000000-1902000000;46523;2.34158
1902000000-1903000000;46925;2.28643
1903000000-1904000000;46730;2.35833
1904000000-1905000000;46944;2.56125
1905000000-1906000000;46822;2.66339
1906000000-1907000000;46662;2.48909
1907000000-1908000000;46791;2.94999
1908000000-1909000000;46712;2.64232
1909000000-1910000000;46800;2.89614
1910000000-1911000000;46803;2.67541
1911000000-1912000000;46673;2.65783
1912000000-1913000000;46797;2.36118
1913000000-1914000000;46772;2.55433
1914000000-1915000000;46822;2.71802
1915000000-1916000000;46873;2.59625
1916000000-1917000000;46726;2.52967
1917000000-1918000000;46670;2.51251
1918000000-1919000000;46736;2.443
1919000000-1920000000;46800;2.56274
1920000000-1921000000;46612;2.71716
1921000000-1922000000;46810;2.29339
1922000000-1923000000;46691;2.44709
1923000000-1924000000;46920;2.79648
1924000000-1925000000;46664;2.87443
1925000000-1926000000;46772;2.59429
1926000000-1927000000;46569;2.42182
1927000000-1928000000;47012;2.53047
1928000000-1929000000;46689;2.46116
1929000000-1930000000;46833;2.47413
1930000000-1931000000;46884;2.57581
1931000000-1932000000;46737;2.53065
1932000000-1933000000;46793;2.65447
1933000000-1934000000;46755;2.44953
1934000000-1935000000;46747;2.6516
1935000000-1936000000;46848;2.47256
1936000000-1937000000;46881;2.4658
1937000000-1938000000;46559;2.6441
1938000000-1939000000;46704;2.48141
1939000000-1940000000;46703;2.63896
1940000000-1941000000;46758;2.66446
1941000000-1942000000;46714;2.37742
1942000000-1943000000;46635;2.31582
1943000000-1944000000;46862;2.35013
1944000000-1945000000;46807;2.61967
1945000000-1946000000;46670;2.59441
1946000000-1947000000;46828;2.33699
1947000000-1948000000;46976;2.52743
1948000000-1949000000;46498;2.5121
1949000000-1950000000;46871;3.03833
1950000000-1951000000;47016;2.47677
1951000000-1952000000;46689;2.57398
1952000000-1953000000;46907;2.56798
1953000000-1954000000;46644;2.60543
1954000000-1955000000;46739;2.85522
1955000000-1956000000;46689;2.34598
1956000000-1957000000;46766;2.52521
1957000000-1958000000;46769;2.52108
1958000000-1959000000;46632;2.42861
1959000000-1960000000;46799;2.47006
1960000000-1961000000;46597;2.51661
1961000000-1962000000;46852;2.62749
1962000000-1963000000;46549;2.58156
1963000000-1964000000;46929;2.72175
1964000000-1965000000;46626;2.51328
1965000000-1966000000;46672;2.28089
1966000000-1967000000;46676;2.29121
1967000000-1968000000;46639;2.5212
1968000000-1969000000;46840;2.47576
1969000000-1970000000;46782;2.61479
1970000000-1971000000;46560;2.4844
1971000000-1972000000;46895;2.4193
1972000000-1973000000;46873;2.36568
1973000000-1974000000;46668;2.3756
1974000000-1975000000;46890;2.95889
1975000000-1976000000;46617;2.60179
1976000000-1977000000;46746;2.52023
1977000000-1978000000;46688;2.56907
1978000000-1979000000;46863;2.53698
1979000000-1980000000;46603;2.55569
1980000000-1981000000;46880;2.47435
1981000000-1982000000;46765;2.33963
1982000000-1983000000;46553;2.31051
1983000000-1984000000;46666;2.40122
1984000000-1985000000;46825;2.48447
1985000000-1986000000;46607;2.45492
1986000000-1987000000;46820;2.71214
1987000000-1988000000;46682;2.91087
1988000000-1989000000;46689;2.3659
1989000000-1990000000;46714;2.32698
1990000000-1991000000;46616;2.34572
1991000000-1992000000;46669;2.36253
1992000000-1993000000;46897;2.36148
1993000000-1994000000;46547;2.35096
1994000000-1995000000;46872;2.38247
1995000000-1996000000;46527;2.73958
1996000000-1997000000;46575;2.76407
1997000000-1998000000;46863;2.49163
1998000000-1999000000;46500;2.33746
1999000000-2000000000;46580;2.90577
2000000000-2001000000;46903;2.83692
2001000000-2002000000;46897;2.52353
2002000000-2003000000;46712;2.56697
2003000000-2004000000;46855;2.55532
2004000000-2005000000;46659;2.58257
2005000000-2006000000;46838;2.51835
2006000000-2007000000;46750;2.44134
2007000000-2008000000;46626;2.46503
2008000000-2009000000;46632;2.65405
2009000000-2010000000;46740;2.63555
2010000000-2011000000;46528;2.75575
2011000000-2012000000;46684;2.38674
2012000000-2013000000;46777;2.40038
2013000000-2014000000;46922;2.32873
2014000000-2015000000;46744;2.41117
2015000000-2016000000;46736;2.349
2016000000-2017000000;46747;2.3612
2017000000-2018000000;46607;2.26819
2018000000-2019000000;46626;2.27906
2019000000-2020000000;46692;2.39323
2020000000-2021000000;46644;2.36577
2021000000-2022000000;46573;2.44897
2022000000-2023000000;46722;2.54828
2023000000-2024000000;46396;2.73088
2024000000-2025000000;46780;2.5613
2025000000-2026000000;46651;2.88797
2026000000-2027000000;46782;2.54572
2027000000-2028000000;46478;2.6412
2028000000-2029000000;46577;2.4589
2029000000-2030000000;46598;2.82109
2030000000-2031000000;46762;2.35126
2031000000-2032000000;46639;2.45194
2032000000-2033000000;46624;2.48785
2033000000-2034000000;46775;2.643
2034000000-2035000000;46873;2.64436
2035000000-2036000000;46449;2.45244
2036000000-2037000000;46652;2.67763
2037000000-2038000000;46483;2.67207
2038000000-2039000000;46723;2.57911
2039000000-2040000000;46728;2.56804
2040000000-2041000000;46542;2.50751
2041000000-2042000000;46475;2.41623
2042000000-2043000000;46706;2.42098
2043000000-2044000000;46717;2.47131
2044000000-2045000000;46677;2.56885
2045000000-2046000000;46729;2.64351
2046000000-2047000000;46635;2.62768
2047000000-2048000000;46564;2.42663
2048000000-2049000000;46709;2.50997
2049000000-2050000000;46768;2.74787
2050000000-2051000000;46854;2.98592
2051000000-2052000000;46468;2.36631
2052000000-2053000000;46652;2.67922
2053000000-2054000000;46544;2.71809
2054000000-2055000000;46651;2.5356
2055000000-2056000000;46636;2.34952
2056000000-2057000000;46566;2.57192
2057000000-2058000000;46441;2.52602
2058000000-2059000000;46578;2.62411
2059000000-2060000000;46530;2.36209
2060000000-2061000000;46593;2.61485
2061000000-2062000000;46484;2.52115
2062000000-2063000000;46703;2.68178
2063000000-2064000000;46839;2.52041
2064000000-2065000000;46690;2.64822
2065000000-2066000000;46403;2.58056
2066000000-2067000000;46704;2.51323
2067000000-2068000000;46545;2.78583
2068000000-2069000000;46592;2.63477
2069000000-2070000000;46692;2.37163
2070000000-2071000000;46538;2.34065
2071000000-2072000000;46483;2.72954
2072000000-2073000000;46554;2.51938
2073000000-2074000000;46880;2.63667
2074000000-2075000000;46621;2.83571
2075000000-2076000000;46670;2.83844
2076000000-2077000000;46417;2.60735
2077000000-2078000000;46492;2.55236
2078000000-2079000000;46834;2.67828
2079000000-2080000000;46579;2.79685
2080000000-2081000000;46541;2.80845
2081000000-2082000000;46688;2.91989
2082000000-2083000000;46759;2.51378
2083000000-2084000000;46610;2.46194
2084000000-2085000000;46475;2.57797
2085000000-2086000000;46561;2.33728
2086000000-2087000000;46574;2.40744
2087000000-2088000000;46583;2.34898
2088000000-2089000000;46549;2.63736
2089000000-2090000000;46766;2.74522
2090000000-2091000000;46565;2.71048
2091000000-2092000000;46675;2.53548
2092000000-2093000000;46509;2.59575
2093000000-2094000000;46589;2.61746
2094000000-2095000000;46687;2.63345
2095000000-2096000000;46735;2.51459
2096000000-2097000000;46568;2.72596
2097000000-2098000000;46442;2.32387
2098000000-2099000000;46522;2.41452
2099000000-2100000000;46502;2.81522
2100000000-2101000000;46765;2.35364
2101000000-2102000000;46666;2.32738
2102000000-2103000000;46715;2.34556
2103000000-2104000000;46401;2.37134
2104000000-2105000000;46840;2.5604
2105000000-2106000000;46629;2.45364
2106000000-2107000000;46423;2.80208
2107000000-2108000000;46622;2.82726
2108000000-2109000000;46605;2.69719
2109000000-2110000000;46657;2.64203
2110000000-2111000000;46639;2.41924
2111000000-2112000000;46729;2.45415
2112000000-2113000000;46524;2.45684
2113000000-2114000000;46668;2.40131
2114000000-2115000000;46690;2.37668
2115000000-2116000000;46468;2.33202
2116000000-2117000000;46699;2.41815
2117000000-2118000000;46459;2.34556
2118000000-2119000000;46515;2.38943
2119000000-2120000000;46680;2.35308
2120000000-2121000000;46400;2.40896
2121000000-2122000000;46575;2.376
2122000000-2123000000;46432;2.36588
2123000000-2124000000;46481;2.49857
2124000000-2125000000;46615;2.60486
2125000000-2126000000;46506;2.707
2126000000-2127000000;46422;2.36009
2127000000-2128000000;46554;2.41077
2128000000-2129000000;46453;2.42637
2129000000-2130000000;46560;2.48007
2130000000-2131000000;46517;2.39582
2131000000-2132000000;46241;2.44464
2132000000-2133000000;46622;2.3557
2133000000-2134000000;46463;2.40937
2134000000-2135000000;46558;2.37263
2135000000-2136000000;46332;2.4215
2136000000-2137000000;46640;2.37918
2137000000-2138000000;46393;2.42414
2138000000-2139000000;46425;2.39918
2139000000-2140000000;46669;2.40379
2140000000-2141000000;46670;2.36212
2141000000-2142000000;46616;2.39102
2142000000-2143000000;46500;2.42718
2143000000-2144000000;46631;2.37604
2144000000-2145000000;46568;2.45202
2145000000-2146000000;46754;2.40111
2146000000-2147000000;46597;2.67058
2147000000-2148000000;46542;2.33008
2148000000-2149000000;46518;2.30397
2149000000-2150000000;46435;2.2623
2150000000-2151000000;46575;2.46893
2151000000-2152000000;46585;2.74406
2152000000-2153000000;46581;2.3543
2153000000-2154000000;46487;2.31185
2154000000-2155000000;46598;2.36622
2155000000-2156000000;46583;2.33041
2156000000-2157000000;46365;2.32181
2157000000-2158000000;46507;2.34272
2158000000-2159000000;46448;2.30311
2159000000-2160000000;46605;2.40168
2160000000-2161000000;46694;2.29589
2161000000-2162000000;46429;2.39033
2162000000-2163000000;46634;2.33021
2163000000-2164000000;46464;2.40414
2164000000-2165000000;46412;2.28463
2165000000-2166000000;46511;2.35972
2166000000-2167000000;46673;2.30299
2167000000-2168000000;46371;2.35807
2168000000-2169000000;46531;2.33744
2169000000-2170000000;46461;2.31988
2170000000-2171000000;46793;2.39585
2171000000-2172000000;46374;2.34808
2172000000-2173000000;46452;2.3926
2173000000-2174000000;46480;2.30971
2174000000-2175000000;46523;2.40173
2175000000-2176000000;46595;2.34475
2176000000-2177000000;46735;2.41469
2177000000-2178000000;46377;2.53238
2178000000-2179000000;46754;2.78318
2179000000-2180000000;46392;2.36935
2180000000-2181000000;46484;2.45199
2181000000-2182000000;46380;2.28465
2182000000-2183000000;46194;2.3488
2183000000-2184000000;46552;2.34434
2184000000-2185000000;46469;2.32818
2185000000-2186000000;46460;2.37082
2186000000-2187000000;46584;2.32734
2187000000-2188000000;46558;2.39751
2188000000-2189000000;46568;2.35111
2189000000-2190000000;46407;2.41577
2190000000-2191000000;46413;2.33207
2191000000-2192000000;46570;2.4113
2192000000-2193000000;46569;2.34614
2193000000-2194000000;46403;2.42409
2194000000-2195000000;46594;2.36017
2195000000-2196000000;46536;2.45907
2196000000-2197000000;46527;2.39748
2197000000-2198000000;46539;2.41895
2198000000-2199000000;46384;2.38683
2199000000-2200000000;46333;2.34363
2200000000-2201000000;46535;2.41
2201000000-2202000000;46456;2.38952
2202000000-2203000000;46178;2.39419
2203000000-2204000000;46327;2.38362
2204000000-2205000000;46465;3.02513
2205000000-2206000000;46566;2.51081
2206000000-2207000000;46535;2.40094
2207000000-2208000000;46543;2.36412
2208000000-2209000000;46582;2.4194
2209000000-2210000000;46346;2.38942
2210000000-2211000000;46489;2.44539
2211000000-2212000000;46342;2.38931
2212000000-2213000000;46767;2.45057
2213000000-2214000000;46359;2.40967
2214000000-2215000000;46341;2.39969
2215000000-2216000000;46224;2.32008
2216000000-2217000000;46657;2.33733
2217000000-2218000000;46409;2.38883
2218000000-2219000000;46469;2.33666
2219000000-2220000000;46623;2.3966
2220000000-2221000000;46475;2.337
2221000000-2222000000;46497;2.40782
2222000000-2223000000;46415;2.3706
2223000000-2224000000;46285;2.38681
2224000000-2225000000;46449;2.35209
2225000000-2226000000;46514;2.40134
2226000000-2227000000;46521;2.36641
2227000000-2228000000;46453;2.38228
2228000000-2229000000;46399;2.40274
2229000000-2230000000;46673;2.38915
2230000000-2231000000;46450;2.86195
2231000000-2232000000;46441;2.67052
2232000000-2233000000;46264;2.36262
2233000000-2234000000;46385;2.35453
2234000000-2235000000;46575;2.42244
2235000000-2236000000;46426;2.36112
2236000000-2237000000;46671;2.42156
2237000000-2238000000;46250;2.37962
2238000000-2239000000;46493;2.43812
2239000000-2240000000;46500;2.39595
2240000000-2241000000;46363;2.42121
2241000000-2242000000;46435;2.37839
2242000000-2243000000;46467;2.44839
2243000000-2244000000;46368;2.4143
2244000000-2245000000;46446;2.41945
2245000000-2246000000;46614;2.40291
2246000000-2247000000;46570;2.46091
2247000000-2248000000;46479;2.6707
2248000000-2249000000;46418;2.37145
2249000000-2250000000;46318;2.36875
2250000000-2251000000;46601;2.35811
2251000000-2252000000;46549;2.42938
2252000000-2253000000;46397;2.34854
2253000000-2254000000;46340;2.41538
2254000000-2255000000;46487;2.35996
2255000000-2256000000;46323;2.45172
2256000000-2257000000;46495;2.60255
2257000000-2258000000;46251;2.7482
2258000000-2259000000;46418;2.37219
2259000000-2260000000;46501;2.43579
2260000000-2261000000;46453;2.39241
2261000000-2262000000;46578;2.45645
2262000000-2263000000;46616;2.40527
2263000000-2264000000;46480;2.46457
2264000000-2265000000;46358;2.40534
2265000000-2266000000;46399;2.38314
2266000000-2267000000;46549;2.35836
2267000000-2268000000;46570;2.37976
2268000000-2269000000;46270;2.42563
2269000000-2270000000;46568;2.37199
2270000000-2271000000;46523;2.45688
2271000000-2272000000;46659;2.39287
2272000000-2273000000;46458;2.46265
2273000000-2274000000;46565;2.39611
2274000000-2275000000;46598;2.43598
2275000000-2276000000;46369;2.3925
2276000000-2277000000;46508;2.4713
2277000000-2278000000;46365;2.41544
